	Standard Value	Duplicate	Molecule Max Phase	Molecular Weight	#RO5 Violations	AlogP	Compound Key	Smiles	Standard Type	Standard Relation	Standard Units	pChEMBL Value	Ligand Efficiency BEI	Ligand Efficiency LE	Ligand Efficiency LLE	Ligand Efficiency SEI	Potential Duplicate	Assay Description	BAO Label	Assay Organism	Assay Cell Type	Source ID	Properties	Action Type
CHEMBL526668	4	FALSE	None	244.3	0	0.91	6a	CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCNC1	Ki	='	nM	8.4	34.38	0.64	7.49	10.02	0	Inhibition of human recombinant PARP1	single protein format	Homo sapiens	None	1		
CHEMBL495942	4	FALSE	None	258.32	0	1.3	26	CC1(c2nc3c(C(N)=O)cccc3[nH]2)CCNCC1	Ki	='	nM	8.4	32.51	0.6	7.1	10.02	0	Inhibition of human recombinant PARP1	single protein format	Homo sapiens	None	1		
CHEMBL525192	4	FALSE	None	230.27	0	0.52	2a	CC1(c2nc3c(C(N)=O)cccc3[nH]2)CNC1	Ki	='	nM	8.4	36.47	0.67	7.88	10.02	0	Inhibition of human recombinant PARP1	single protein format	Homo sapiens	None	1		
CHEMBL4542543	0.56	FALSE	None	1352.57	None	None	2c	CC1(CCCCCC(=O)NCCOCCOCC(=O)N2CCN(C(=O)c3cc(Cc4n[nH]c(=O)c5ccccc45)ccc3F)CC2)C(/C=C/C=C/C=C2/N(CCCS(=O)(=O)O)c3ccc(S(=O)(=O)O)cc3C2(C)C)=[N+](CCCS(=O)(=O)[O-])c2ccc(S(=O)(=O)O)cc21	Ki	='	nM	9.25	6.84	None	None	None	0	Binding affinity to full length His-tagged PARP1 (unknown origin) after 11 mins in presence of NAD+ by TR-FRET assay	single protein format	Homo sapiens	None	1		
CHEMBL3986557	1	FALSE	None	381.41	0	2.59	BDBM214227	CC1=C(C)C(=O)N(c2cc(Cc3n[nH]c(=O)c4c3CCCC4)ccc2F)C1=O	Ki	='	nM	9	23.6	0.44	6.41	10.83	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
CHEMBL187389	22	FALSE	None	294.33	0	3.5	8	Cc1c(-c2ccc(F)cc2)n2c3c(cccc13)C(=O)NCC2	Ki	='	nM	7.66	26.02	0.48	4.16	22.5	0	Inhibition of human Poly (ADP-ribose) polymerase 1 enzyme	single protein format	Homo sapiens	None	1		
CHEMBL188690	79	FALSE	None	344.34	0	4.38	9	Cc1c(-c2cccc(C(F)(F)F)c2)n2c3c(cccc13)C(=O)NCC2	Ki	='	nM	7.1	20.63	0.39	2.72	20.87	0	Inhibition of human Poly (ADP-ribose) polymerase 1 enzyme	single protein format	Homo sapiens	None	1		
CHEMBL188824	41	FALSE	None	276.34	0	3.36	7	Cc1c(-c2ccccc2)n2c3c(cccc13)C(=O)NCC2	Ki	='	nM	7.39	26.73	0.48	4.03	21.71	0	Inhibition of human Poly (ADP-ribose) polymerase 1 enzyme	single protein format	Homo sapiens	None	1		
CHEMBL3936919	15.8	FALSE	None	457.51	0	4.13	BDBM213907	Cc1c(C(=O)Nc2cc(Cc3n[nH]c(=O)c4c3CCCC4)ccc2F)cnn1-c1ccccc1	Ki	='	nM	7.8	17.05	0.31	3.67	8.42	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
	16	TRUE	None	457.51	0	4.13	BDBM213907	Cc1c(C(=O)Nc2cc(Cc3n[nH]c(=O)c4c3CCCC4)ccc2F)cnn1-c1ccccc1	Ki	='	nM	7.8	17.04	0.31	3.67	8.41	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
CHEMBL3898342	9	FALSE	None	439.52	0	3.99	BDBM213906	Cc1c(C(=O)Nc2cccc(Cc3n[nH]c(=O)c4c3CCCC4)c2)cnn1-c1ccccc1	Ki	='	nM	8.05	18.31	0.33	4.06	8.68	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
	9	TRUE	None	439.52	0	3.99	BDBM213906	Cc1c(C(=O)Nc2cccc(Cc3n[nH]c(=O)c4c3CCCC4)c2)cnn1-c1ccccc1	Ki	='	nM	8.05	18.31	0.33	4.06	8.68	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
CHEMBL3914434	462	FALSE	None	391.45	0	3.94	BDBM214116	Cc1c(F)cccc1C(=O)Nc1cccc(Cc2n[nH]c(=O)c3c2CCCC3)c1	Ki	='	nM	6.33	16.18	0.3	2.4	8.46	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
CHEMBL3940970	55	FALSE	None	389.46	0	3.51	BDBM214286	Cc1c(O)cccc1NC(=O)c1cccc(Cc2n[nH]c(=O)c3c2CCCC3)c1	Ki	='	nM	7.26	18.64	0.34	3.75	7.64	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
CHEMBL3955369	93	FALSE	None	376.46	0	3.44	BDBM214140	Cc1cc(C(=O)Nc2cccc(Cc3n[nH]c(=O)c4c3CCCC4)c2)c(C)[nH]1	Ki	='	nM	7.03	18.68	0.34	3.59	7.76	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
CHEMBL3927757	103	FALSE	None	390.49	0	3.45	BDBM214141	Cc1cc(C(=O)Nc2cccc(Cc3n[nH]c(=O)c4c3CCCC4)c2)c(C)n1C	Ki	='	nM	6.99	17.89	0.33	3.54	8.76	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
CHEMBL3927432	177	FALSE	None	377.44	0	3.7	BDBM214133	Cc1cc(C(=O)Nc2cccc(Cc3n[nH]c(=O)c4c3CCCC4)c2)c(C)o1	Ki	='	nM	6.75	17.89	0.33	3.05	7.67	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
CHEMBL3931804	56	FALSE	None	437.93	0	4.22	BDBM214109	Cc1cc(Cl)ccc1OCC(=O)Nc1cccc(Cc2n[nH]c(=O)c3c2CCCC3)c1	Ki	='	nM	7.25	16.56	0.32	3.03	8.62	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
CHEMBL3969598	279	FALSE	None	391.45	0	3.94	BDBM214277	Cc1cc(F)ccc1NC(=O)c1cccc(Cc2n[nH]c(=O)c3c2CCCC3)c1	Ki	='	nM	6.55	16.74	0.31	2.61	8.76	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
CHEMBL3955001	149	FALSE	None	452.35	0	4.56	BDBM214282	Cc1cc(NC(=O)c2cccc(Cc3n[nH]c(=O)c4c3CCCC4)c2)ccc1Br	Ki	='	nM	6.83	15.09	0.32	2.27	9.12	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
CHEMBL3969452	87	FALSE	None	407.9	0	4.45	BDBM214280	Cc1cc(NC(=O)c2cccc(Cc3n[nH]c(=O)c4c3CCCC4)c2)ccc1Cl	Ki	='	nM	7.06	17.31	0.33	2.61	9.43	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
CHEMBL3948920	154	FALSE	None	391.45	0	3.94	BDBM214278	Cc1cc(NC(=O)c2cccc(Cc3n[nH]c(=O)c4c3CCCC4)c2)ccc1F	Ki	='	nM	6.81	17.4	0.32	2.87	9.1	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
CHEMBL3914483	69	FALSE	None	337.42	0	2.83	BDBM214075	CC1CC1C(=O)Nc1cccc(Cc2n[nH]c(=O)c3c2CCCC3)c1	Ki	='	nM	7.16	21.22	0.39	4.33	9.57	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
CHEMBL3980127	2	FALSE	None	355.41	0	2.89	BDBM214237	CC1CCC(=O)N1c1cc(Cc2n[nH]c(=O)c3c2CCCC3)ccc1F	Ki	='	nM	8.7	24.48	0.46	5.81	13.17	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
CHEMBL3934886	2340	FALSE	None	477.56	1	5.03	BDBM214181	Cc1ccc(C(=O)c2ccccc2C(=O)Nc2cccc(Cc3n[nH]c(=O)c4c3CCCC4)c2)cc1	Ki	='	nM	5.63	11.79	0.21	0.6	6.13	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
CHEMBL3910884	41	FALSE	None	389.46	0	3.51	BDBM214162	Cc1ccc(C(=O)Nc2cccc(Cc3n[nH]c(=O)c4c3CCCC4)c2)c(O)c1	Ki	='	nM	7.39	18.97	0.35	3.88	7.77	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
CHEMBL3964944	159	FALSE	None	391.45	0	3.94	BDBM214118	Cc1ccc(C(=O)Nc2cccc(Cc3n[nH]c(=O)c4c3CCCC4)c2)cc1F	Ki	='	nM	6.8	17.37	0.32	2.86	9.08	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
CHEMBL3975860	196	FALSE	None	379.49	0	3.86	BDBM214137	Cc1ccc(C(=O)Nc2cccc(Cc3n[nH]c(=O)c4c3CCCC4)c2)s1	Ki	='	nM	6.71	17.68	0.34	2.85	8.96	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
CHEMBL3912303	65	FALSE	None	415.54	0	3.83	BDBM214336	Cc1ccc(C)c(CCNC(=O)c2cccc(Cc3n[nH]c(=O)c4c3CCCC4)c2)c1	Ki	='	nM	7.19	17.3	0.32	3.36	9.6	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
CHEMBL3983397	309	FALSE	None	269.35	0	2.13	BDBM214218	Cc1ccc(Cc2n[nH]c(=O)c3c2CCCC3)cc1N	Ki	='	nM	6.51	24.17	0.44	4.38	9.07	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
CHEMBL3917731	50	FALSE	None	519.69	2	5.61	BDBM214334	Cc1ccc(CCc2ccc(CCNC(=O)c3cccc(Cc4n[nH]c(=O)c5c4CCCC5)c3)cc2)cc1C	Ki	='	nM	7.3	14.05	0.26	1.69	9.75	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
CHEMBL3949079	82	FALSE	None	415.54	0	3.83	BDBM214335	Cc1ccc(CCNC(=O)c2cccc(Cc3n[nH]c(=O)c4c3CCCC4)c2)c(C)c1	Ki	='	nM	7.09	17.05	0.31	3.26	9.47	0	PARP Enzyme Inhibition Assay: PARP1 assay was conducted in PARP assay buffer containing 50 mM Tris pH 8.0, 1 mM DTT, 4 mM MgCl2. PARP reactions contained 1.5 uM [3H]-NAD+ (1.6 uCi/mmol), 200 nM biotinylated histone H1, 200 nM sIDNA, and 1 nM PARP enzyme. Auto reactions utilizing SPA bead-based detection were carried out in 100 uL volumes in white 96 well plates. Reactions were initiated by adding 50 ul of 2xNAD+ substrate mixture to 50 uL of 2x enzyme mixture containing PARP and DNA. These reactions were terminated by the addition of 150 uL of 1.5 mM benzamide (~1000-fold over its IC50). 170 uL of the stopped reaction mixtures were transferred to streptavidin Flash Plates, incubated for 1 hour, and counted using a TopCount microplate scintillation counter.	single protein format	None	None	37		
