Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
OLAPARIB,O=C(N1CCN(CC1)C(=O)c1cc(ccc1F)Cc1n[nH]c(=O)c2c1cccc2)C1CC1,C24H23FN4O3,434.46,32,16,0.33,6,5,1,125.21,86.37,2.84,1.90,1.94,3.09,4.14,2.78,-3.70,8.58e-02,1.97e-04,Soluble,-3.34,2.00e-01,4.61e-04,Soluble,-6.61,1.08e-04,2.48e-07,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-7.60,0,0,0,0,0,0.55,0,0,1,3.15
CHEMBL493045,Fc1ccc(cc1C(=O)N1CCNCC1)Cc1n[nH]c(=O)c2c1cccc2,C20H19FN4O2,366.39,27,16,0.25,4,5,2,107.80,78.09,2.54,1.52,1.36,2.70,3.84,2.39,-3.24,2.09e-01,5.71e-04,Soluble,-2.77,6.25e-01,1.70e-03,Soluble,-6.83,5.41e-05,1.48e-07,Poorly soluble,High,No,Yes,Yes,No,No,Yes,No,-7.46,0,0,0,0,0,0.55,0,0,1,2.86
CHEMBL3965685,O=C(c1cc[nH]n1)N1CCCN(CC1)C(=O)c1cc(ccc1F)Cc1n[nH]c(=O)c2c1NCCC2,C24H26FN7O3,479.51,35,17,0.38,6,6,3,136.96,127.08,1.61,1.26,0.66,1.84,3.29,1.73,-3.57,1.29e-01,2.69e-04,Soluble,-3.53,1.42e-01,2.97e-04,Soluble,-6.80,7.60e-05,1.58e-07,Poorly soluble,High,No,Yes,No,No,No,No,Yes,-8.33,0,1,0,0,0,0.55,0,0,1,3.79
CHEMBL3984269,Fc1ccc(cc1C(=O)N1CCN(CC1)C(=O)c1n[nH]cc1)Cc1n[nH]c(=O)c2c1CCCC2,C24H25FN6O3,464.49,34,17,0.38,6,6,2,129.69,115.05,1.88,1.71,1.36,2.34,4.02,2.26,-3.77,7.87e-02,1.69e-04,Soluble,-3.74,8.42e-02,1.81e-04,Soluble,-6.76,8.00e-05,1.72e-07,Poorly soluble,High,No,Yes,No,Yes,No,No,Yes,-7.92,0,0,0,0,0,0.55,0,0,1,3.65
CHEMBL3959275,Fc1ccc(cc1C(=O)N1CCN(CC1)C(=O)c1n[nH]cc1)Cc1n[nH]c(=O)c2c1NCCC2,C23H24FN7O3,465.48,34,17,0.35,6,6,3,132.15,127.08,1.90,0.91,0.27,1.63,3.06,1.55,-3.27,2.48e-01,5.33e-04,Soluble,-3.16,3.19e-01,6.85e-04,Soluble,-6.54,1.35e-04,2.91e-07,Poorly soluble,High,No,Yes,No,No,No,No,Yes,-8.49,0,1,0,0,0,0.55,0,0,1,3.65
CHEMBL3901842,Clc1ccc(cn1)C(=O)N1CCN(CC1)C(=O)c1cc(ccc1F)Cc1n[nH]c(=O)c2c1NCCC2,C25H24ClFN6O3,510.95,36,18,0.32,6,6,2,142.81,111.29,2.65,2.17,1.59,2.43,4.19,2.61,-4.35,2.29e-02,4.48e-05,Moderately soluble,-4.14,3.70e-02,7.24e-05,Moderately soluble,-7.89,6.55e-06,1.28e-08,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-7.88,1,2,0,0,0,0.55,0,1,1,3.70
CHEMBL3958755,Fc1ccc(cc1)C(=O)C1CCN(CC1)C(=O)c1cc(ccc1F)Cc1n[nH]c(=O)c2c1NCCC2,C27H26F2N4O3,492.52,36,18,0.33,6,6,2,137.96,95.16,3.04,3.29,3.62,3.62,5.66,3.85,-4.94,5.65e-03,1.15e-05,Moderately soluble,-4.96,5.36e-03,1.09e-05,Moderately soluble,-8.66,1.08e-06,2.19e-09,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,No,-6.97,0,2,0,0,0,0.55,0,0,1,3.76
CHEMBL3972935,Oc1ccc(cn1)C(=O)N1CCN(CC1)C(=O)c1cc(ccc1F)Cc1n[nH]c(=O)c2c1CCCC2,C26H26FN5O4,491.51,36,18,0.35,6,7,2,137.36,119.49,3.04,1.99,1.74,2.57,4.03,2.67,-4.12,3.77e-02,7.67e-05,Moderately soluble,-4.13,3.68e-02,7.49e-05,Moderately soluble,-6.95,5.51e-05,1.12e-07,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-7.89,0,2,0,0,0,0.55,0,0,1,3.75
CHEMBL3903770,Fc1ccc(cc1C(=O)N1CCN(CC1)C(=O)c1ccc2c(c1)[nH]cc2)Cc1n[nH]c(=O)c2c1NCCC2,C28H27FN6O3,514.55,38,21,0.29,6,5,3,151.86,114.19,2.95,2.41,2.02,2.69,4.63,2.94,-4.56,1.41e-02,2.74e-05,Moderately soluble,-4.45,1.83e-02,3.55e-05,Moderately soluble,-8.53,1.52e-06,2.95e-09,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-7.73,1,2,0,0,0,0.55,0,0,1,3.90
CHEMBL3981249,O=C(c1ccc2c(n1)cccc2)N1CCCN(CC1)C(=O)c1cc(ccc1F)Cc1n[nH]c(=O)c2c1NCCC2,C30H29FN6O3,540.59,40,22,0.30,6,6,2,160.12,111.29,2.82,3.24,2.48,3.04,4.77,3.27,-5.24,3.08e-03,5.70e-06,Moderately soluble,-5.25,3.04e-03,5.62e-06,Moderately soluble,-9.20,3.45e-07,6.38e-10,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-7.30,1,2,0,0,0,0.55,0,0,1,4.06
CHEMBL3925997,Fc1ccc(cc1c1cccc(c1)C(=O)N1CCCC1)Cc1n[nH]c(=O)c2c1CCCC2,C26H26FN3O2,431.50,32,18,0.35,5,4,1,126.45,66.06,3.35,4.27,4.32,4.47,6.45,4.57,-5.29,2.20e-03,5.11e-06,Moderately soluble,-5.37,1.84e-03,4.27e-06,Moderately soluble,-8.67,9.14e-07,2.12e-09,Poorly soluble,High,Yes,Yes,No,Yes,Yes,Yes,Yes,-5.90,1,0,0,0,0,0.55,0,0,2,3.53
CHEMBL3919281,Fc1ccc(cc1c1cccc(c1)C(=O)N1CCCC1)CCc1n[nH]c(=O)c2c1CCCC2,C27H28FN3O2,445.53,33,18,0.37,6,4,1,131.26,66.06,3.97,4.56,4.52,4.67,6.85,4.91,-5.48,1.47e-03,3.29e-06,Moderately soluble,-5.67,9.52e-04,2.14e-06,Moderately soluble,-9.06,3.84e-07,8.61e-10,Poorly soluble,High,Yes,Yes,No,Yes,Yes,Yes,Yes,-5.78,1,1,0,0,0,0.55,0,0,2,3.65
CHEMBL3958597,O=C(N(Cc1ccccc1)Cc1ccccc1)c1cccc(c1)Cc1n[nH]c(=O)c2c1CCCC2,C30H29N3O2,463.57,35,24,0.23,8,3,1,138.61,66.06,3.71,5.04,4.78,4.68,6.73,4.99,-5.87,6.27e-04,1.35e-06,Moderately soluble,-6.17,3.15e-04,6.78e-07,Poorly soluble,-10.58,1.22e-08,2.63e-11,Insoluble,High,Yes,Yes,No,Yes,Yes,No,Yes,-5.55,1,1,0,0,1,0.55,0,0,3,3.73
CHEMBL3971705,OCCN(C(=O)c1cccc(c1)Cc1n[nH]c(=O)c2c1CCCC2)Cc1ccccc1,C25H27N3O3,417.50,31,18,0.32,8,4,2,120.10,86.29,2.56,2.86,2.72,3.09,5.07,3.26,-4.13,3.08e-02,7.38e-05,Moderately soluble,-4.33,1.95e-02,4.67e-05,Moderately soluble,-7.94,4.82e-06,1.15e-08,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-6.82,0,0,0,0,0,0.55,0,0,2,3.50
CHEMBL3907189,O=C(c1cccc(c1)Cc1n[nH]c(=O)c2c1CCCC2)N1CCC(CC1)c1ccccc1,C27H29N3O2,427.54,32,18,0.37,5,3,1,130.35,66.06,3.66,4.29,3.88,4.31,5.85,4.40,-5.28,2.25e-03,5.25e-06,Moderately soluble,-5.39,1.74e-03,4.07e-06,Moderately soluble,-8.45,1.53e-06,3.57e-09,Poorly soluble,High,Yes,Yes,No,Yes,Yes,Yes,Yes,-5.86,1,1,0,0,0,0.55,0,0,2,3.55
CHEMBL3952003,OC1CCN(CC1)C(=O)c1cccc(c1)Cc1n[nH]c(=O)c2c1CCCC2,C21H25N3O3,367.44,27,12,0.48,4,4,2,107.02,86.29,2.67,1.92,1.46,2.46,3.82,2.47,-3.39,1.49e-01,4.05e-04,Soluble,-3.36,1.62e-01,4.41e-04,Soluble,-5.41,1.44e-03,3.93e-06,Moderately soluble,High,No,Yes,No,No,No,Yes,No,-7.18,0,0,0,0,0,0.55,0,0,1,3.24
CHEMBL3922478,O=C(c1cccc(c1)Cc1n[nH]c(=O)c2c1CCCC2)N1CCN(CC1)C(=O)c1ccno1,C24H25N5O4,447.49,33,17,0.38,6,6,1,127.64,112.40,2.93,1.76,1.06,1.96,3.47,2.24,-3.71,8.76e-02,1.96e-04,Soluble,-3.74,8.18e-02,1.83e-04,Soluble,-6.51,1.40e-04,3.12e-07,Poorly soluble,High,No,Yes,No,Yes,Yes,No,Yes,-7.78,0,0,0,0,0,0.55,0,0,1,3.72
CHEMBL3938218,Fc1ccc(cc1)N1CCN(CC1)C(=O)c1cccc(c1)Cc1n[nH]c(=O)c2c1CCCC2,C26H27FN4O2,446.52,33,18,0.35,5,4,1,132.87,69.30,3.08,3.74,3.00,3.93,5.14,3.78,-5.04,4.09e-03,9.16e-06,Moderately soluble,-4.89,5.79e-03,1.30e-05,Moderately soluble,-8.00,4.51e-06,1.01e-08,Poorly soluble,High,Yes,Yes,No,Yes,Yes,Yes,Yes,-6.37,0,1,0,0,0,0.55,0,0,2,3.51
CHEMBL3939380,O=C(c1cccc(c1)Cc1n[nH]c(=O)c2c1CCCC2)N1CCN(CC1)c1ccccc1,C26H28N4O2,428.53,32,18,0.35,5,3,1,132.91,69.30,3.28,3.64,2.44,3.56,4.73,3.53,-4.88,5.70e-03,1.33e-05,Moderately soluble,-4.78,7.05e-03,1.65e-05,Moderately soluble,-7.73,7.91e-06,1.85e-08,Poorly soluble,High,Yes,Yes,No,Yes,Yes,Yes,Yes,-6.33,0,1,0,0,0,0.55,0,0,2,3.52
CHEMBL3911328,O=C(c1cccc(c1)Cc1n[nH]c(=O)c2c1CCCC2)N1CCN(CC1)c1ccccc1F,C26H27FN4O2,446.52,33,18,0.35,5,4,1,132.87,69.30,3.47,3.74,3.00,3.93,5.14,3.86,-5.04,4.09e-03,9.16e-06,Moderately soluble,-4.89,5.79e-03,1.30e-05,Moderately soluble,-8.00,4.51e-06,1.01e-08,Poorly soluble,High,Yes,Yes,No,Yes,Yes,Yes,Yes,-6.37,0,1,0,0,0,0.55,0,0,2,3.54
CHEMBL3911333,O=C(c1cccc(c1)Cc1n[nH]c(=O)c2c1CCCC2)N1CCN(CC1)c1ccccn1,C25H27N5O2,429.51,32,18,0.36,5,4,1,130.71,82.19,3.19,2.91,1.84,2.96,4.16,3.01,-4.42,1.62e-02,3.78e-05,Moderately soluble,-4.30,2.17e-02,5.05e-05,Moderately soluble,-7.36,1.87e-05,4.36e-08,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-6.85,0,1,0,0,0,0.55,0,0,1,3.56
CHEMBL3889976,O=C(c1cccc(c1)Cc1n[nH]c(=O)c2c1CCCC2)N1CCN(CC1)c1ncccn1,C24H26N6O2,430.50,32,18,0.38,5,5,1,128.50,95.08,3.06,2.26,1.23,2.37,3.59,2.50,-4.02,4.12e-02,9.57e-05,Moderately soluble,-3.89,5.51e-02,1.28e-04,Soluble,-6.99,4.44e-05,1.03e-07,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-7.32,0,0,0,0,0,0.55,0,0,1,3.51
CHEMBL3954628,OCCN1CCN(CC1)C(=O)c1cccc(c1)Cc1n[nH]c(=O)c2c1CCCC2,C22H28N4O3,396.48,29,12,0.50,6,5,2,118.64,89.53,3.10,1.18,0.23,1.88,3.48,1.97,-2.95,4.43e-01,1.12e-03,Soluble,-2.66,8.76e-01,2.21e-03,Soluble,-5.48,1.31e-03,3.30e-06,Moderately soluble,High,No,Yes,No,No,No,Yes,No,-7.88,0,0,0,0,0,0.55,0,0,1,3.48
CHEMBL3963719,OCCOCCN1CCN(CC1)C(=O)c1cccc(c1)Cc1n[nH]c(=O)c2c1CCCC2,C24H32N4O4,440.54,32,12,0.54,9,6,2,129.34,98.76,3.36,1.03,0.24,1.51,3.81,1.99,-2.90,5.50e-01,1.25e-03,Soluble,-2.69,8.91e-01,2.02e-03,Soluble,-5.99,4.51e-04,1.02e-06,Moderately soluble,High,No,Yes,No,No,No,No,Yes,-8.26,0,0,0,0,0,0.55,0,0,2,3.77
CHEMBL3984680,Clc1cccc(c1)C(=O)C1CCN(CC1)C(=O)c1cc(ccc1F)Cc1n[nH]c(=O)c2c1NCCC2,C27H26ClFN4O3,508.97,36,18,0.33,6,5,2,143.01,95.16,3.37,3.81,3.71,3.72,5.88,4.10,-5.37,2.17e-03,4.27e-06,Moderately soluble,-5.50,1.60e-03,3.14e-06,Moderately soluble,-8.98,5.35e-07,1.05e-09,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-6.70,1,2,0,0,0,0.55,0,0,2,3.77
CHEMBL3955805,Fc1ccc(cc1c1ccccc1C(=O)N1CCCC1)CCc1n[nH]c(=O)c2c1CCCC2,C27H28FN3O2,445.53,33,18,0.37,6,4,1,131.26,66.06,3.24,4.56,4.52,4.67,6.85,4.77,-5.48,1.47e-03,3.29e-06,Moderately soluble,-5.67,9.52e-04,2.14e-06,Moderately soluble,-9.06,3.84e-07,8.61e-10,Poorly soluble,High,Yes,Yes,No,Yes,Yes,Yes,Yes,-5.78,1,1,0,0,0,0.55,0,0,2,3.67
CHEMBL3950202,Fc1ccc(cc1C(=O)N1CCC(CC1)C(=O)c1ccccc1)Cc1n[nH]c(=O)c2c1NCCC2,C27H27FN4O3,474.53,35,18,0.33,6,5,2,138.00,95.16,3.09,3.19,3.06,3.26,5.24,3.57,-4.78,7.94e-03,1.67e-05,Moderately soluble,-4.86,6.55e-03,1.38e-05,Moderately soluble,-8.40,1.89e-06,3.98e-09,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-6.93,0,1,0,0,0,0.55,0,0,1,3.76
CHEMBL3972264,O=C(c1ccccn1)N1CCCN(CC1)C(=O)c1cc(ccc1F)Cc1n[nH]c(=O)c2c1NCCC2,C26H27FN6O3,490.53,36,18,0.35,6,6,2,142.61,111.29,2.94,1.90,1.33,2.17,3.77,2.42,-4.05,4.35e-02,8.87e-05,Moderately soluble,-3.86,6.77e-02,1.38e-04,Soluble,-7.58,1.30e-05,2.64e-08,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-7.94,0,2,0,0,0,0.55,0,0,1,3.83
CHEMBL3949787,Fc1ccc(cc1C(=O)N1CCN(CC1)C(=O)c1ccccn1)Cc1n[nH]c(=O)c2c1CCCC2,C26H26FN5O3,475.51,35,18,0.35,6,6,1,135.33,99.26,2.39,2.35,2.03,2.68,4.51,2.79,-4.25,2.65e-02,5.58e-05,Moderately soluble,-4.07,4.01e-02,8.43e-05,Moderately soluble,-7.54,1.37e-05,2.87e-08,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-7.53,0,1,0,0,0,0.55,0,0,1,3.67
CHEMBL3897575,O=C(c1cccnc1)N1CCCN(CC1)C(=O)c1cc(ccc1F)Cc1n[nH]c(=O)c2c1NCCC2,C26H27FN6O3,490.53,36,18,0.35,6,6,2,142.61,111.29,2.59,1.57,1.33,2.17,3.77,2.28,-3.84,7.02e-02,1.43e-04,Soluble,-3.52,1.49e-01,3.04e-04,Soluble,-7.58,1.30e-05,2.64e-08,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-8.18,0,2,0,0,0,0.55,0,0,1,3.81
CHEMBL3931503,Fc1ccc(cc1C(=O)N1CCN(CC1)C(=O)c1cccnc1)Cc1n[nH]c(=O)c2c1CCCC2,C26H26FN5O3,475.51,35,18,0.35,6,6,1,135.33,99.26,2.29,2.01,2.03,2.68,4.51,2.70,-4.04,4.35e-02,9.14e-05,Moderately soluble,-3.72,9.03e-02,1.90e-04,Soluble,-7.54,1.37e-05,2.87e-08,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-7.77,0,1,0,0,0,0.55,0,0,1,3.64
CHEMBL3935119,Fc1ccc(cc1C(=O)N1CCN(CC1)C(=O)c1ccco1)Cc1n[nH]c(=O)c2c1CCCC2,C25H25FN4O4,464.49,34,17,0.36,6,6,1,129.81,99.51,2.43,2.48,2.23,2.51,4.46,2.82,-4.26,2.57e-02,5.54e-05,Moderately soluble,-4.21,2.84e-02,6.10e-05,Moderately soluble,-7.14,3.36e-05,7.24e-08,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-7.37,0,0,0,0,0,0.55,0,0,1,3.71
CHEMBL3965762,Fc1ccc(cc1C(=O)N1CCN(CC1)C(=O)c1ccco1)Cc1n[nH]c(=O)c2c1NCCC2,C24H24FN5O4,465.48,34,17,0.33,6,6,2,132.27,111.54,2.94,1.68,1.14,1.79,3.50,2.21,-3.76,8.12e-02,1.74e-04,Soluble,-3.64,1.07e-01,2.31e-04,Soluble,-6.91,5.70e-05,1.22e-07,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-7.95,0,1,0,0,0,0.55,0,0,1,3.71
CHEMBL3967707,Fc1ccc(cc1C(=O)N1CCN(CC1)C(=O)c1ccncc1)Cc1n[nH]c(=O)c2c1CCCC2,C26H26FN5O3,475.51,35,18,0.35,6,6,1,135.33,99.26,2.45,2.01,2.03,2.68,4.51,2.73,-4.04,4.35e-02,9.14e-05,Moderately soluble,-3.72,9.03e-02,1.90e-04,Soluble,-7.54,1.37e-05,2.87e-08,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-7.77,0,1,0,0,0,0.55,0,0,1,3.67
CHEMBL3946931,Fc1ccc(cc1C(=O)N1CCN(CC1)C(=O)c1cnccn1)Cc1n[nH]c(=O)c2c1CCCC2,C25H25FN6O3,476.50,35,18,0.36,6,7,1,133.13,112.15,2.16,1.28,1.43,1.70,3.94,2.10,-3.59,1.24e-01,2.60e-04,Soluble,-3.23,2.78e-01,5.83e-04,Soluble,-7.17,3.23e-05,6.78e-08,Poorly soluble,High,No,Yes,No,Yes,Yes,No,Yes,-8.30,0,1,0,0,0,0.55,0,0,1,3.68
CHEMBL3930573,Fc1ccc(cc1C(=O)N1CCN(CC1)C(=O)c1cnccn1)Cc1n[nH]c(=O)c2c1NCCC2,C24H24FN7O3,477.49,35,18,0.33,6,7,2,135.60,124.18,2.41,0.47,0.33,0.99,2.98,1.44,-3.08,3.96e-01,8.30e-04,Soluble,-2.65,1.08e+00,2.26e-03,Soluble,-6.94,5.47e-05,1.15e-07,Poorly soluble,High,No,Yes,No,No,Yes,No,Yes,-8.88,0,1,0,0,0,0.55,0,0,1,3.71
CHEMBL3912900,Fc1ccc(cc1C(=O)N1CCN(CC1)C(=O)c1cncnc1)Cc1n[nH]c(=O)c2c1CCCC2,C25H25FN6O3,476.50,35,18,0.36,6,7,1,133.13,112.15,2.42,1.36,1.43,2.10,3.94,2.25,-3.64,1.10e-01,2.31e-04,Soluble,-3.32,2.29e-01,4.81e-04,Soluble,-7.17,3.23e-05,6.78e-08,Poorly soluble,High,No,Yes,No,Yes,Yes,No,Yes,-8.24,0,1,0,0,0,0.55,0,0,1,3.62
CHEMBL3980226,O=C(Cc1cc(F)cc(c1)F)Nc1cccc(c1)Cc1n[nH]c(=O)c2c1CCCC2,C23H21F2N3O2,409.43,30,18,0.26,6,5,2,110.46,74.85,2.99,3.56,4.35,4.23,6.18,4.26,-4.67,8.77e-03,2.14e-05,Moderately soluble,-4.82,6.24e-03,1.52e-05,Moderately soluble,-8.98,4.24e-07,1.04e-09,Poorly soluble,High,No,Yes,Yes,Yes,Yes,Yes,Yes,-6.27,1,0,0,0,0,0.55,0,0,2,3.33
CHEMBL3919974,O=C(Cc1cccc(c1)Oc1ccccc1)Nc1cccc(c1)Cc1n[nH]c(=O)c2c1CCCC2,C29H27N3O3,465.54,35,24,0.21,8,4,2,137.06,84.08,3.47,4.89,5.02,4.21,6.44,4.81,-5.79,7.61e-04,1.63e-06,Moderately soluble,-6.39,1.89e-04,4.06e-07,Poorly soluble,-10.63,1.09e-08,2.35e-11,Insoluble,High,No,Yes,No,Yes,Yes,No,Yes,-5.67,1,1,0,0,0,0.55,0,0,3,3.73
CHEMBL3907646,O=C(Cc1ccccn1)Nc1cccc(c1)Cc1n[nH]c(=O)c2c1CCCC2,C22H22N4O2,374.44,28,18,0.27,6,4,2,108.34,87.74,2.69,2.33,2.62,2.45,4.77,2.97,-3.71,7.32e-02,1.95e-04,Soluble,-3.81,5.78e-02,1.54e-04,Soluble,-8.08,3.09e-06,8.26e-09,Poorly soluble,High,No,Yes,Yes,No,Yes,Yes,Yes,-6.93,0,0,0,0,0,0.55,0,0,1,3.26
CHEMBL2058688,O=C(Nc1cc(ccc1F)Cc1n[nH]c(=O)c2c1NCCC2)CCC(=O)c1ccccc1,C24H23FN4O3,434.46,32,18,0.25,8,5,3,123.00,103.95,2.99,2.31,3.12,2.65,5.13,3.24,-3.88,5.76e-02,1.33e-04,Soluble,-4.13,3.21e-02,7.39e-05,Moderately soluble,-8.81,6.74e-07,1.55e-09,Poorly soluble,High,No,Yes,Yes,Yes,Yes,Yes,Yes,-7.31,0,0,0,0,0,0.55,0,0,2,3.51
CHEMBL3915702,O=C(Nc1cccc(c1)Cc1n[nH]c(=O)c2c1CCCC2)CCC(=O)c1ccccc1,C25H25N3O3,415.48,31,18,0.28,8,4,2,120.58,91.92,2.96,3.02,3.65,3.02,5.67,3.66,-4.22,2.50e-02,6.02e-05,Moderately soluble,-4.62,1.01e-02,2.42e-05,Moderately soluble,-8.77,6.99e-07,1.68e-09,Poorly soluble,High,No,Yes,Yes,Yes,Yes,Yes,Yes,-6.69,0,0,0,0,0,0.55,0,0,2,3.38
CHEMBL3908878,O=C(Nc1cccc(c1)CCc1n[nH]c(=O)c2c1CCCC2)CCC(=O)c1ccccc1,C26H27N3O3,429.51,32,18,0.31,9,4,2,125.38,91.92,3.46,3.31,3.84,3.22,6.07,3.98,-4.41,1.67e-02,3.89e-05,Moderately soluble,-4.92,5.21e-03,1.21e-05,Moderately soluble,-9.17,2.93e-07,6.82e-10,Poorly soluble,High,No,Yes,Yes,Yes,Yes,Yes,Yes,-6.57,0,0,0,0,0,0.55,0,0,2,3.49
CHEMBL3981743,O=C(Nc1cccc(c1)Cc1n[nH]c(=O)c2c1CCCC2)CCC(=O)c1cccs1,C23H23N3O3S,421.51,30,17,0.30,8,4,2,118.45,120.16,2.87,3.03,3.71,2.63,6.29,3.71,-4.25,2.35e-02,5.58e-05,Moderately soluble,-5.22,2.55e-03,6.04e-06,Moderately soluble,-8.04,3.86e-06,9.16e-09,Poorly soluble,High,No,Yes,Yes,Yes,Yes,No,Yes,-6.72,0,0,0,0,0,0.55,0,0,2,3.42
CHEMBL3958218,O=C(Nc1cccc(c1)Cc1n[nH]c(=O)c2c1CCCC2)CCc1ccc(cc1)Cl,C24H24ClN3O2,421.92,30,18,0.29,7,3,2,120.36,74.85,3.39,4.29,4.27,4.17,6.37,4.50,-5.14,3.05e-03,7.23e-06,Moderately soluble,-5.57,1.12e-03,2.66e-06,Moderately soluble,-9.44,1.55e-07,3.66e-10,Poorly soluble,High,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-5.83,1,0,0,0,0,0.55,0,0,2,3.33
CHEMBL3967582,O=C(Nc1cc(ccc1F)Cc1n[nH]c(=O)c2c1CCCC2)CCC1CCCCC1,C24H30FN3O2,411.51,30,12,0.54,7,4,2,117.55,74.85,3.36,4.90,4.91,4.29,6.25,4.74,-5.31,2.00e-03,4.87e-06,Moderately soluble,-6.21,2.55e-04,6.20e-07,Poorly soluble,-8.03,3.86e-06,9.38e-09,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-5.33,1,0,0,0,0,0.55,0,0,2,3.61
CHEMBL3948359,O=C(Nc1cccc(c1)Cc1n[nH]c(=O)c2c1CCCC2)CCc1ccccc1,C24H25N3O2,387.47,29,18,0.29,7,3,2,115.35,74.85,3.10,3.66,3.62,3.69,5.73,3.96,-4.55,1.10e-02,2.85e-05,Moderately soluble,-4.92,4.65e-03,1.20e-05,Moderately soluble,-8.85,5.47e-07,1.41e-09,Poorly soluble,High,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-6.06,0,0,0,0,0,0.55,0,0,2,3.32
CHEMBL3920833,O=C(Nc1cccc(c1)Cc1n[nH]c(=O)c2c1CCCC2)CCc1ccccc1Cl,C24H24ClN3O2,421.92,30,18,0.29,7,3,2,120.36,74.85,3.22,4.29,4.27,4.17,6.37,4.46,-5.14,3.05e-03,7.23e-06,Moderately soluble,-5.57,1.12e-03,2.66e-06,Moderately soluble,-9.44,1.55e-07,3.66e-10,Poorly soluble,High,Yes,Yes,Yes,Yes,Yes,Yes,Yes,-5.83,1,0,0,0,0,0.55,0,0,2,3.37
CHEMBL3920948,O=C(Nc1cc(ccc1F)Cc1n[nH]c(=O)c2c1CCCC2)CCCC(=O)Nc1ccccc1,C26H27FN4O3,462.52,34,18,0.31,10,5,3,129.46,103.95,3.39,2.97,4.16,3.46,5.72,3.94,-4.31,2.26e-02,4.89e-05,Moderately soluble,-4.82,7.06e-03,1.53e-05,Moderately soluble,-9.46,1.59e-07,3.44e-10,Poorly soluble,High,No,Yes,Yes,Yes,Yes,Yes,Yes,-7.01,0,0,0,0,0,0.55,0,0,2,3.64
CHEMBL2058687,O=C(Nc1cc(ccc1F)Cc1n[nH]c(=O)c2c1NCCC2)CCCC(=O)Nc1ccccc1,C25H26FN5O3,463.50,34,18,0.28,10,5,4,131.93,115.98,3.21,2.16,3.07,2.74,4.75,3.19,-3.81,7.24e-02,1.56e-04,Soluble,-4.23,2.74e-02,5.91e-05,Moderately soluble,-9.24,2.69e-07,5.81e-10,Poorly soluble,High,No,Yes,Yes,Yes,No,Yes,Yes,-7.59,0,1,0,0,0,0.55,0,0,2,3.70
CHEMBL3910314,O=C(Nc1cccc(c1)Cc1n[nH]c(=O)c2c1CCCC2)CCCC(=O)Nc1ccccc1,C26H28N4O3,444.53,33,18,0.31,10,4,3,129.50,103.95,2.83,2.87,3.61,3.10,5.29,3.54,-4.15,3.16e-02,7.12e-05,Moderately soluble,-4.71,8.62e-03,1.94e-05,Moderately soluble,-9.20,2.79e-07,6.27e-10,Poorly soluble,High,No,Yes,Yes,Yes,Yes,Yes,Yes,-6.97,0,0,0,0,0,0.55,0,0,2,3.58
