Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Z8264646864,O=C(c1cc(ccc1F)Cc1n[nH]c(=O)c2c1cccc2)NS(=O)(=O)c1cncn1C,C20H16FN5O4S,441.44,31,21,0.10,6,7,2,109.63,135.19,1.61,1.54,3.01,1.50,2.29,1.99,-3.65,9.83e-02,2.23e-04,Soluble,-3.99,4.54e-02,1.03e-04,Soluble,-7.16,3.03e-05,6.87e-08,Poorly soluble,High,No,No,No,Yes,No,No,No,-7.90,0,0,0,1,0,0.55,0,0,1,3.35
Z8264646901,O=C(c1cc(ccc1F)Cc1n[nH]c(=O)c2c1cccc2)NS(=O)(=O)c1cnccn1,C20H14FN5O4S,439.42,31,22,0.05,6,8,2,108.17,143.15,1.31,1.31,3.06,1.06,2.73,1.90,-3.52,1.33e-01,3.03e-04,Soluble,-3.92,5.32e-02,1.21e-04,Soluble,-8.02,4.20e-06,9.55e-09,Poorly soluble,Low,No,No,No,Yes,No,No,No,-8.05,0,0,1,1,0,0.55,0,0,1,3.25
Z8264646985,O=C(c1cc(ccc1F)Cc1n[nH]c(=O)c2c1cccc2)NS(=O)(=O)N1CCCCC1,C21H21FN4O4S,444.48,31,16,0.29,6,7,2,117.66,120.61,2.37,2.32,3.23,3.22,2.84,2.80,-4.04,4.02e-02,9.05e-05,Moderately soluble,-4.49,1.43e-02,3.22e-05,Moderately soluble,-6.97,4.80e-05,1.08e-07,Poorly soluble,High,No,Yes,No,No,No,No,No,-7.36,0,0,0,0,0,0.55,0,0,1,3.32
Z8264647099,Fc1ccc(cc1C(=O)N1CCCS1(=O)=O)Cc1n[nH]c(=O)c2c1cccc2,C19H16FN3O4S,401.41,28,16,0.21,4,6,1,105.24,108.58,1.30,1.87,2.95,2.34,3.21,2.34,-3.67,8.67e-02,2.16e-04,Soluble,-3.77,6.79e-02,1.69e-04,Soluble,-6.40,1.61e-04,4.00e-07,Poorly soluble,High,No,No,No,Yes,No,No,No,-7.42,0,0,0,0,0,0.55,0,0,1,3.09
Z8264647341,CC(=O)NC(c1noc(n1)c1cc(ccc1F)Cc1n[nH]c(=O)c2c1cccc2)(C)C,C22H20FN5O3,421.42,31,21,0.23,6,7,2,112.15,113.77,2.78,2.33,3.39,2.99,4.65,3.23,-4.03,3.97e-02,9.42e-05,Moderately soluble,-4.36,1.85e-02,4.38e-05,Moderately soluble,-8.54,1.23e-06,2.91e-09,Poorly soluble,High,No,Yes,No,Yes,Yes,No,Yes,-7.22,0,0,0,0,0,0.55,0,0,1,3.65
Z8264647896,Fc1ccc(cc1c1onc(n1)C(S(=O)(=O)C)(C)C)Cc1n[nH]c(=O)c2c1cccc2,C21H19FN4O4S,442.46,31,21,0.24,5,8,1,113.30,127.19,2.51,2.39,4.38,3.11,4.33,3.34,-4.26,2.43e-02,5.49e-05,Moderately soluble,-4.70,8.78e-03,1.98e-05,Moderately soluble,-8.44,1.60e-06,3.62e-09,Poorly soluble,Low,No,No,No,Yes,No,No,No,-7.30,0,0,0,0,0,0.55,0,0,1,3.77
Z8467703865,CN1CCN([C@@H](C1)c1n[nH]nn1)C(=O)c1cc(ccc1F)Cc1n[nH]c(=O)c2c1cccc2,C22H21FN8O2,448.45,33,21,0.27,5,8,2,124.93,123.76,2.09,1.10,0.63,2.66,2.72,1.84,-3.45,1.58e-01,3.51e-04,Soluble,-3.29,2.29e-01,5.11e-04,Soluble,-6.81,6.93e-05,1.55e-07,Poorly soluble,High,No,Yes,Yes,Yes,No,No,Yes,-8.25,0,0,0,0,0,0.55,0,0,1,3.88
Z8264659570,Fc1ccc(cc1C(=O)N1CCCC[C@@H]1c1n[nH]nn1)Cc1n[nH]c(=O)c2c1cccc2,C22H20FN7O2,433.44,32,21,0.27,5,7,2,118.12,120.52,1.83,2.13,2.25,3.43,3.73,2.68,-4.02,4.09e-02,9.44e-05,Moderately soluble,-4.29,2.21e-02,5.10e-05,Moderately soluble,-7.38,1.80e-05,4.16e-08,Poorly soluble,High,No,Yes,Yes,Yes,No,No,No,-7.43,0,0,0,0,0,0.56,0,0,1,3.71
Z8264659621,F[C@H]1CN([C@@H](C1)c1n[nH]nn1)C(=O)c1cc(ccc1F)Cc1n[nH]c(=O)c2c1cccc2,C21H17F2N7O2,437.40,32,21,0.24,5,8,2,113.36,120.52,1.52,1.83,2.23,3.33,3.51,2.48,-3.86,6.03e-02,1.38e-04,Soluble,-3.98,4.57e-02,1.04e-04,Soluble,-7.15,3.12e-05,7.13e-08,Poorly soluble,High,No,Yes,Yes,Yes,No,No,No,-7.67,0,0,0,0,0,0.56,0,0,1,3.95
Z8277606792,O=C(c1cc(ccc1F)Cc1n[nH]c(=O)c2c1cccc2)N[C@@H](c1nnn[nH]1)C1CC1,C21H18FN7O2,419.41,31,21,0.24,7,7,3,109.30,129.31,1.29,1.93,2.08,3.22,3.88,2.48,-3.70,8.45e-02,2.02e-04,Soluble,-4.27,2.26e-02,5.38e-05,Moderately soluble,-7.60,1.05e-05,2.51e-08,Poorly soluble,High,No,Yes,Yes,Yes,No,No,No,-7.49,0,0,0,0,0,0.56,0,0,1,3.62
Z8264664373,OC(=O)[C@@]12COC[C@H]2CN(C1)C(=O)c1cc(ccc1F)Cc1n[nH]c(=O)c2c1cccc2,C23H20FN3O5,437.42,32,16,0.30,5,7,2,115.99,112.59,1.78,1.19,1.87,2.50,3.64,2.19,-3.34,1.99e-01,4.55e-04,Soluble,-3.15,3.09e-01,7.07e-04,Soluble,-6.14,3.15e-04,7.21e-07,Poorly soluble,High,No,Yes,No,No,No,No,No,-8.12,0,0,0,0,0,0.56,0,0,1,3.98
Z8264664493,OC(=O)[C@@H]1N(CC21CCC2)C(=O)c1cc(ccc1F)Cc1n[nH]c(=O)c2c1cccc2,C23H20FN3O4,421.42,31,16,0.30,5,6,2,114.91,103.36,2.48,2.72,2.77,3.29,4.04,3.06,-4.22,2.55e-02,6.05e-05,Moderately soluble,-4.54,1.20e-02,2.86e-05,Moderately soluble,-6.42,1.62e-04,3.84e-07,Poorly soluble,High,No,Yes,Yes,No,Yes,No,No,-6.94,0,0,0,0,0,0.56,0,0,1,3.94
Z8264665388,OC(=O)CC1(CCOCC1)NC(=O)c1cc(ccc1F)Cc1n[nH]c(=O)c2c1cccc2,C23H22FN3O5,439.44,32,16,0.30,7,7,3,114.39,121.38,2.06,2.26,2.83,2.50,4.31,2.79,-3.90,5.58e-02,1.27e-04,Soluble,-4.45,1.58e-02,3.59e-05,Moderately soluble,-7.22,2.66e-05,6.05e-08,Poorly soluble,High,No,Yes,No,No,No,No,No,-7.38,0,0,0,0,0,0.56,0,0,1,3.24
Z8264702924,N[C@H]1C[C@@H](C21CCOCC2)NC(=O)c1cc(ccc1F)Cc1n[nH]c(=O)c2c1cccc2,C24H25FN4O3,436.48,32,16,0.38,5,6,3,117.72,110.10,2.36,1.77,2.70,2.76,4.04,2.72,-3.70,8.68e-02,1.99e-04,Soluble,-3.70,8.71e-02,2.00e-04,Soluble,-7.45,1.54e-05,3.52e-08,Poorly soluble,High,No,Yes,No,No,No,Yes,Yes,-7.71,0,0,0,0,0,0.55,0,0,1,4.50
Z8462127609,O=C(c1cc(ccc1F)Cc1n[nH]c(=O)c2c1cccc2)Nc1ccc2c(c1)CNC2,C24H19FN4O2,414.43,31,22,0.12,5,5,3,120.52,86.88,2.66,2.49,3.05,3.61,5.19,3.40,-4.17,2.78e-02,6.71e-05,Moderately soluble,-3.96,4.55e-02,1.10e-04,Soluble,-9.47,1.42e-07,3.42e-10,Poorly soluble,High,No,Yes,Yes,Yes,No,Yes,No,-7.06,0,0,0,0,0,0.55,0,0,1,3.06
Z8271774600,O=C1CC[C@@H](C(=O)N1)N1Cc2c(C1=O)cccc2c1nnn(c1)c1cccc2c1cncc2,C24H18N6O3,438.44,33,21,0.17,3,6,1,126.18,110.08,2.18,1.45,1.33,1.79,2.16,1.78,-3.74,7.89e-02,1.80e-04,Soluble,-3.37,1.88e-01,4.29e-04,Soluble,-7.03,4.14e-05,9.44e-08,Poorly soluble,High,No,Yes,Yes,Yes,Yes,No,Yes,-7.94,0,0,0,0,0,0.55,0,1,1,3.79
Z8280825250,O=Cc1ccc2c(c1O)CCN(C2)C(=O)c1cc(ccc1F)Cc1n[nH]c(=O)c2c1cccc2,C26H20FN3O4,457.45,34,22,0.15,5,6,2,128.34,103.36,2.66,3.36,3.26,3.15,5.37,3.56,-4.94,5.23e-03,1.14e-05,Moderately soluble,-5.21,2.83e-03,6.19e-06,Moderately soluble,-8.31,2.24e-06,4.90e-09,Poorly soluble,High,No,Yes,No,Yes,Yes,No,No,-6.70,0,0,0,0,0,0.55,0,1,1,3.24
Z8281754325,Cc1oc(cc1c1nc(nn1c1ccc2c(c1)cn[nH]2)[C@@H]1OCCc2c1cccc2)c1ccccc1,C29H23N5O2,473.53,36,31,0.14,4,5,1,137.31,81.76,3.69,5.50,5.72,3.28,5.59,4.76,-6.61,1.15e-04,2.43e-07,Poorly soluble,-6.98,5.01e-05,1.06e-07,Poorly soluble,-10.41,1.84e-08,3.88e-11,Insoluble,High,No,No,No,No,Yes,No,No,-5.28,0,2,0,0,1,0.55,0,0,2,4.71
Z8416259049,O=C(c1ccc2c(n1)nn[nH]2)N[C@H]1CN(C2(C1)CCCC2)C(=O)c1cccc2c1[nH]nn2,C21H21N9O2,431.45,32,18,0.38,5,7,3,118.11,145.44,0.92,1.59,1.20,2.04,1.59,1.47,-3.60,1.08e-01,2.49e-04,Soluble,-4.26,2.40e-02,5.55e-05,Moderately soluble,-5.98,4.52e-04,1.05e-06,Moderately soluble,Low,No,Yes,No,No,No,No,No,-7.80,1,0,1,1,0,0.55,0,0,1,4.03
Z8416259311,O=C(c1cc(C)c2c(c1)nn[nH]2)N[C@@H]1CN(C2(C1)CCC2)C(=O)c1cnc2c(c1)nn[nH]2,C21H21N9O2,431.45,32,18,0.38,5,7,3,118.27,145.44,1.52,1.26,1.12,2.04,1.89,1.56,-3.40,1.74e-01,4.03e-04,Soluble,-3.91,5.27e-02,1.22e-04,Soluble,-6.09,3.52e-04,8.17e-07,Poorly soluble,Low,No,Yes,No,No,No,No,Yes,-8.04,1,0,1,1,0,0.55,0,0,1,3.92
Z5245347491,Clc1ccc2c(c1)[C@H](CCC2)n1nnc(c1)[C@H]1COCCN1C(=O)Cc1cc2ccccc2c(=O)[nH]1,C27H26ClN5O3,503.98,36,21,0.33,5,5,1,140.84,93.11,3.72,2.70,3.14,3.04,4.32,3.38,-4.77,8.61e-03,1.71e-05,Moderately soluble,-4.31,2.48e-02,4.92e-05,Moderately soluble,-7.90,6.32e-06,1.25e-08,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-7.46,1,2,0,0,0,0.55,0,0,1,4.61
Z5489518404,Cc1cc(C)nc(n1)Nc1ccc(c(c1)C(=O)N(Cc1nc2ccccc2c(=O)[nH]1)C)O,C23H22N6O3,430.46,32,22,0.17,6,6,3,121.84,124.10,2.39,3.03,2.90,1.61,3.20,2.63,-4.53,1.27e-02,2.95e-05,Moderately soluble,-5.30,2.15e-03,4.99e-06,Moderately soluble,-7.75,7.69e-06,1.79e-08,Poorly soluble,High,No,Yes,No,No,Yes,No,Yes,-6.77,0,0,0,0,0,0.55,0,1,1,3.14
Z19703968,Fc1ccc(cc1)[C@H]1N(N=C2[C@@H]1CCC/C/2=C\c1ccc(cc1)F)C(=O)COC(=O)c1ccccc1O,C29H24F2N2O4,502.51,37,18,0.21,7,7,1,142.01,79.20,4.63,6.08,5.30,4.74,5.81,5.31,-6.68,1.04e-04,2.07e-07,Poorly soluble,-7.52,1.50e-05,2.99e-08,Poorly soluble,-8.15,3.52e-06,7.01e-09,Poorly soluble,High,No,Yes,No,Yes,Yes,No,Yes,-5.05,2,2,0,0,1,0.17,0,0,2,4.71
Z1767360593,O=C(c1cccc2c1[nH]c1c(F)cccc1c2=O)N1CC[C@]2(C1)C(=O)Nc1c2cccc1,C25H18FN3O3,427.43,32,20,0.16,2,4,2,126.04,82.27,2.71,3.07,3.02,2.83,4.68,3.26,-4.75,7.52e-03,1.76e-05,Moderately soluble,-4.46,1.47e-02,3.43e-05,Moderately soluble,-8.57,1.15e-06,2.68e-09,Poorly soluble,High,No,Yes,Yes,Yes,Yes,No,Yes,-6.73,0,0,0,0,0,0.55,0,1,1,3.71
Z31284541,O=C1N(Cc2ccc3c(c2)OCO3)C(=O)c2c(/C/1=C/Nc1ccc(c(c1)S(=O)(=O)N1CCOCC1)C)cccc2,C29H27N3O7S,561.61,40,18,0.24,6,8,1,154.07,122.86,3.56,3.11,3.36,2.02,3.01,3.01,-5.22,3.40e-03,6.05e-06,Moderately soluble,-5.36,2.46e-03,4.38e-06,Moderately soluble,-7.86,7.73e-06,1.38e-08,Poorly soluble,High,No,Yes,No,Yes,Yes,No,Yes,-7.52,1,2,0,0,0,0.55,0,2,1,4.13
Z32662851,Clc1ccc(cc1)NS(=O)(=O)c1ccc(c(c1)NC(=O)c1n[nH]c(=O)c2c1cccc2)N1CCCC1,C25H22ClN5O4S,523.99,36,22,0.16,7,5,3,143.34,132.64,2.93,3.72,4.55,2.50,3.20,3.38,-5.42,1.98e-03,3.78e-06,Moderately soluble,-6.20,3.33e-04,6.36e-07,Poorly soluble,-9.10,4.14e-07,7.91e-10,Poorly soluble,Low,No,No,No,Yes,Yes,No,Yes,-6.86,1,2,0,1,0,0.55,0,0,2,3.46
Z46189278,C[C@H](c1nc2ccccc2c(=O)[nH]1)N1CCN(CC1)[C@@H](c1nc2ccccc2c(=O)[nH]1)C,C24H26N6O2,430.50,32,20,0.33,4,6,2,132.90,97.98,3.16,1.87,1.19,2.36,3.75,2.47,-3.89,5.60e-02,1.30e-04,Soluble,-3.55,1.22e-01,2.82e-04,Soluble,-7.14,3.13e-05,7.28e-08,Poorly soluble,High,No,Yes,No,No,Yes,No,Yes,-7.60,0,1,0,0,0,0.55,0,0,1,3.93
Z637359162,N#C[C@H](C(=O)c1nn(c2c1CCC2)c1ccc(cc1)C)c1nc2sc3c(c2c(=O)[nH]1)CCCC3,C26H23N5O2S,469.56,34,20,0.35,4,5,1,131.62,132.67,3.39,4.79,4.34,2.85,6.65,4.40,-5.94,5.39e-04,1.15e-06,Moderately soluble,-7.31,2.31e-05,4.92e-08,Poorly soluble,-7.82,7.17e-06,1.53e-08,Poorly soluble,Low,No,Yes,No,Yes,Yes,No,Yes,-5.76,0,1,0,1,0,0.55,0,0,2,4.46
Z8485016236,O=C(c1c[nH]c(=O)c2c1cccc2)N1CC[C@@H](C1)c1nnn(c1)c1ccc2c(c1)[nH]cn2,C23H19N7O2,425.44,32,24,0.17,4,5,2,122.94,112.56,1.85,1.42,2.23,2.32,2.73,2.11,-3.66,9.24e-02,2.17e-04,Soluble,-3.39,1.74e-01,4.09e-04,Soluble,-6.86,5.90e-05,1.39e-07,Poorly soluble,High,No,Yes,No,Yes,No,No,No,-7.89,0,0,0,0,0,0.55,0,0,1,3.72
Z8485030349,O=C(c1c[nH]c(=O)c2c1cccc2)N1CC(C1)(C)NC(=O)c1n[nH]c2c1CCC2,C21H21N5O3,391.42,29,15,0.33,5,4,3,111.21,110.95,1.77,0.82,1.00,1.59,3.38,1.71,-2.84,5.71e-01,1.46e-03,Soluble,-2.73,7.25e-01,1.85e-03,Soluble,-6.21,2.39e-04,6.11e-07,Poorly soluble,High,No,Yes,Yes,No,No,No,No,-8.11,0,0,0,0,0,0.55,0,0,1,3.07
Z8485160521,Nc1nc2CN(Cc2c(n1)O)C(=O)c1ccccc1Cc1nc2ccccc2c(=O)[nH]1,C22H18N6O3,414.42,31,22,0.14,4,6,3,118.18,138.09,2.01,0.76,1.07,1.12,2.64,1.52,-3.15,2.94e-01,7.09e-04,Soluble,-3.24,2.39e-01,5.76e-04,Soluble,-6.74,7.52e-05,1.82e-07,Poorly soluble,High,No,Yes,No,No,No,No,No,-8.29,0,0,0,1,0,0.55,0,0,1,3.10
Z8485184575,O=C(N1C[C@@H]2C[C@H]1CCN2C(=O)c1n[nH]c(=O)c2c1cccc2)c1ccc2c(c1)nccc2,C25H21N5O3,439.47,33,20,0.24,4,5,1,131.00,99.26,2.47,2.40,1.84,2.50,2.87,2.42,-4.26,2.41e-02,5.48e-05,Moderately soluble,-4.13,3.29e-02,7.48e-05,Moderately soluble,-6.71,8.57e-05,1.95e-07,Poorly soluble,High,No,Yes,No,Yes,Yes,No,Yes,-7.28,0,1,0,0,0,0.55,0,0,1,4.38
Z1069481562,O=C1CCCc2c(N1)ccc(c2)C(=O)N1CCC(CC1)C(=O)c1ccc2c(c1)NC(=O)[C@@H](O2)C,C26H27N3O5,461.51,34,12,0.38,4,5,2,136.81,104.81,2.97,2.07,1.89,1.77,3.35,2.41,-4.00,4.59e-02,9.94e-05,Moderately soluble,-3.90,5.81e-02,1.26e-04,Soluble,-6.61,1.14e-04,2.47e-07,Poorly soluble,High,No,Yes,No,Yes,Yes,No,Yes,-7.65,0,1,0,0,0,0.55,0,0,1,3.93
Z1069482558,O=C1Nc2cc(ccc2O[C@H]1C)C(=O)C1CCN(CC1)C(=O)c1cnc2c(c1)c(no2)C(C)C,C25H26N4O5,462.50,34,15,0.40,5,7,1,131.84,114.63,3.14,2.78,2.85,1.53,3.43,2.74,-4.46,1.62e-02,3.50e-05,Moderately soluble,-4.84,6.64e-03,1.43e-05,Moderately soluble,-6.53,1.38e-04,2.99e-07,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-7.15,0,1,0,0,0,0.55,0,0,1,4.16
Z56855879,O=C1COc2c(N1)cc(cc2)C(=O)COC(=O)c1cc(ccc1O)NS(=O)(=O)c1cccc(c1)[N+](=O)[O-],C23H17N3O10S,527.46,37,18,0.09,9,10,3,132.21,202.30,0.99,2.69,2.79,-0.12,-0.26,1.22,-4.57,1.42e-02,2.69e-05,Moderately soluble,-6.59,1.35e-04,2.56e-07,Poorly soluble,-6.28,2.78e-04,5.27e-07,Poorly soluble,Low,No,No,No,Yes,Yes,No,Yes,-7.61,2,2,1,1,1,0.17,1,3,2,3.50
Z1480903785,O=c1[nH]c(/C=C/c2c[nH]nc2c2ccc3c(c2)OCO3)nc2c1cnn2c1ncccn1,C21H14N8O3,426.39,32,26,0.05,4,8,2,114.09,136.49,1.62,1.46,1.97,1.53,2.77,1.87,-3.74,7.75e-02,1.82e-04,Soluble,-3.93,4.98e-02,1.17e-04,Soluble,-6.63,9.90e-05,2.32e-07,Poorly soluble,High,No,Yes,No,No,No,No,No,-7.86,1,0,0,1,0,0.55,0,0,1,3.57
Z2902675565,Fc1cccc(c1)n1nncc1c1onc(n1)c1cccc(c1)Cn1cnc2c1cccc2,C24H16FN7O,437.43,33,31,0.04,5,7,0,119.08,87.45,3.56,4.14,4.94,3.61,3.43,3.93,-5.53,1.30e-03,2.98e-06,Moderately soluble,-5.68,9.06e-04,2.07e-06,Moderately soluble,-8.83,6.41e-07,1.47e-09,Poorly soluble,High,No,Yes,No,No,Yes,No,No,-6.03,0,0,0,0,0,0.55,0,0,2,3.59
Z2902676675,O=S(=O)(c1c[nH]c2c1cccn2)NCc1onc(n1)c1cccc(c1)Cn1cnc2c1cccc2,C24H19N7O3S,485.52,35,29,0.08,7,8,2,128.81,139.97,2.36,2.80,4.42,1.18,2.52,2.66,-4.77,8.33e-03,1.72e-05,Moderately soluble,-5.40,1.95e-03,4.02e-06,Moderately soluble,-9.24,2.77e-07,5.70e-10,Poorly soluble,Low,No,Yes,No,Yes,Yes,Yes,Yes,-7.27,0,1,0,1,0,0.55,0,0,1,3.70
Z3376081343,O=C(N1CCS(=O)(=O)[C@@H](C1)CCNC(=O)c1cccc2c1[nH]c(=O)[nH]2)CCc1ccccc1C(=O)N,C24H27N5O6S,513.57,36,15,0.33,10,6,4,136.81,183.67,1.49,-0.32,1.03,0.79,2.28,1.05,-2.47,1.74e+00,3.38e-03,Soluble,-3.08,4.31e-01,8.39e-04,Soluble,-6.44,1.86e-04,3.63e-07,Poorly soluble,Low,No,Yes,No,No,No,No,No,-9.66,2,2,1,1,1,0.17,0,0,2,3.98
Z4408342225,O=C(c1cccnc1Cn1nnc(c1)C1CCN(CC1)S(=O)(=O)C)N1CCc2c(C1)c(F)ccc2C(=O)O,C25H27FN6O5S,542.58,38,17,0.40,7,10,1,142.30,146.97,2.50,0.73,2.48,1.35,1.31,1.67,-3.53,1.59e-01,2.93e-04,Soluble,-3.40,2.18e-01,4.03e-04,Soluble,-5.45,1.93e-03,3.55e-06,Moderately soluble,Low,No,Yes,No,No,Yes,No,No,-9.09,2,2,1,1,0,0.56,0,0,1,3.93
Z4475766849,Fc1ccc(c(c1)F)C(=O)N1[C@H](C[C@H]2[C@@H]1CCCC2)C(=O)OCc1[nH]c(=O)c2c(n1)c(C)ccc2,C26H25F2N3O4,481.49,35,16,0.38,6,7,1,129.06,92.36,3.42,4.24,4.33,4.14,5.09,4.24,-5.44,1.75e-03,3.64e-06,Moderately soluble,-5.89,6.19e-04,1.29e-06,Moderately soluble,-7.45,1.72e-05,3.58e-08,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-6.23,0,1,0,0,0,0.55,0,0,2,4.32
Z1482637208,O=C(c1ccc2c(c1)c1CCCCCc1[nH]2)N1CCC(CC1)c1nnc2n1ccnc2,C24H26N6O,414.50,31,18,0.42,3,4,1,123.48,79.18,2.95,3.73,3.51,2.62,3.39,3.24,-4.99,4.23e-03,1.02e-05,Moderately soluble,-5.08,3.41e-03,8.23e-06,Moderately soluble,-6.48,1.36e-04,3.29e-07,Poorly soluble,High,No,Yes,Yes,Yes,Yes,Yes,Yes,-6.18,0,0,0,0,0,0.55,1,0,2,3.37
Z4497136420,O=C([C@H]1C[C@H]2[C@@H](N1C(=O)c1ccc3c(c1)cccc3)CCCC2)OCc1cc(=O)n2c(n1)c(C)ccc2,C30H29N3O4,495.57,37,20,0.33,6,5,0,145.75,80.98,3.52,4.51,4.14,3.34,4.18,3.94,-5.76,8.66e-04,1.75e-06,Moderately soluble,-5.93,5.80e-04,1.17e-06,Moderately soluble,-7.72,9.40e-06,1.90e-08,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-6.12,0,2,0,0,0,0.55,0,0,2,4.52
Z4497136512,O=C([C@H]1C[C@@H]2[C@H](N1C(=O)c1ccc3c(c1)cccc3)CCCC2)OCc1[nH]c(=O)c2c(n1)c(C)ccc2,C30H29N3O4,495.57,37,20,0.33,6,5,1,146.65,92.36,3.99,5.29,4.37,4.01,5.26,4.58,-6.25,2.79e-04,5.63e-07,Poorly soluble,-6.98,5.19e-05,1.05e-07,Poorly soluble,-8.55,1.41e-06,2.84e-09,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-5.57,0,2,0,0,1,0.55,0,0,2,4.44
Z4898404655,Clc1ccc2c(c1)[C@](CCO2)(CC(=O)N1C[C@@H]2C[C@H]1CN2C(=O)C)C(=O)Nc1cncc2c1cccc2,C28H27ClN4O4,518.99,37,16,0.36,7,5,1,147.68,91.84,3.31,2.43,2.82,1.99,3.62,2.83,-4.45,1.86e-02,3.58e-05,Moderately soluble,-4.00,5.17e-02,9.97e-05,Moderately soluble,-7.47,1.74e-05,3.35e-08,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-7.74,1,2,0,0,0,0.55,0,0,1,5.20
Z4898404656,Clc1ccc2c(c1)[C@@](CCO2)(CC(=O)N1CC[C@H]2[C@@H](C1)CS(=O)(=O)C2)C(=O)Nc1cncc2c1cccc2,C28H28ClN3O5S,554.06,38,16,0.39,6,6,1,149.63,114.05,2.74,2.69,4.34,2.32,3.81,3.18,-4.89,7.21e-03,1.30e-05,Moderately soluble,-4.74,1.01e-02,1.83e-05,Moderately soluble,-8.24,3.17e-06,5.71e-09,Poorly soluble,High,No,Yes,No,Yes,Yes,Yes,Yes,-7.77,1,2,0,0,0,0.55,0,0,1,4.74
Z30081630,CCN(C(=O)c1ccc2c(c1)S(=O)(=O)N=C1N2CCCCC1)Cc1nc2ccccc2c(=O)[nH]1,C24H25N5O4S,479.55,34,16,0.33,5,6,1,137.00,124.18,2.61,1.67,3.23,3.44,3.15,2.82,-3.88,6.27e-02,1.31e-04,Soluble,-3.89,6.15e-02,1.28e-04,Soluble,-7.03,4.43e-05,9.25e-08,Poorly soluble,High,No,Yes,No,No,Yes,No,No,-8.04,0,1,0,0,0,0.55,0,0,1,4.12
Z30084800,CN(C(=O)c1cc(nc2c1cccc2)c1ccccc1)Cc1nc2ccccc2c(=O)[nH]1,C26H20N4O2,420.46,32,26,0.08,5,4,1,125.49,78.95,3.40,3.81,4.26,3.34,5.00,3.96,-5.12,3.20e-03,7.61e-06,Moderately soluble,-5.16,2.89e-03,6.87e-06,Moderately soluble,-9.55,1.18e-07,2.80e-10,Poorly soluble,High,No,Yes,No,Yes,Yes,No,Yes,-6.16,0,0,0,0,0,0.55,0,0,2,3.01
Z30082802,CCN(C(=O)c1cccc(c1)S(=O)(=O)N1CCc2c1cccc2)Cc1nc2ccccc2c(=O)[nH]1,C26H24N4O4S,488.56,35,22,0.19,7,5,1,137.36,111.82,3.18,2.99,3.88,2.87,3.37,3.26,-4.76,8.57e-03,1.75e-05,Moderately soluble,-5.00,4.86e-03,9.95e-06,Moderately soluble,-8.40,1.95e-06,4.00e-09,Poorly soluble,High,No,No,No,Yes,Yes,No,Yes,-7.16,0,2,0,0,0,0.55,0,0,1,3.46
Z30083847,O=C(c1ccc2c(c1)S(=O)(=O)N=C1N2CCCCC1)N(Cc1nc2ccccc2c(=O)[nH]1)C,C23H23N5O4S,465.52,33,16,0.30,4,6,1,132.19,124.18,2.26,1.30,2.84,3.23,2.75,2.48,-3.64,1.07e-01,2.29e-04,Soluble,-3.51,1.45e-01,3.10e-04,Soluble,-6.64,1.06e-04,2.27e-07,Poorly soluble,High,No,Yes,No,No,Yes,No,No,-8.22,0,1,0,0,0,0.55,0,0,1,4.00
Z30081231,CCN(C(=O)c1ccc2c(c1)c1CCCCc1[nH]2)Cc1nc2ccccc2c(=O)[nH]1,C24H24N4O2,400.47,30,19,0.29,5,3,2,118.84,81.85,2.67,3.60,3.79,3.17,5.27,3.70,-4.73,7.46e-03,1.86e-05,Moderately soluble,-5.01,3.95e-03,9.87e-06,Moderately soluble,-8.15,2.83e-06,7.06e-09,Poorly soluble,High,No,Yes,Yes,Yes,Yes,Yes,Yes,-6.19,0,0,0,0,0,0.55,1,0,2,3.08
